down arrow
x
up arrow
arrow
icon
star
check
emoticon
a
triangle
circle
bullet
check mark
right arrow
telephone
chess
square
>
search
quote
s
computer
heart
bracket
person
down
space
c
checkbox
>>
e
flag
weather
t
tick
o
sun
music
french
left arrow
leaf
money
dot
peace
b
1/2
currency
phone
dark skin tone
p
up
A
car
r
right
l
fire
i
d
n
plus
home
f
cross
/
m
dash
u
box
hand
h
line
1/4
1/3
g
medal
w
bull
/&\w/
love
mail
3/4
arr
1
X
book
camera
green
&
food
house
-
dice
info
sear
S
arro
play
E
rock
face
map
email
sea
B
warning
ch
paper
left
copy
water
\
link
tree
flower
smile
amp
C
k
diamond
pin
bike
clock
degree
v
bird
T
se

ca
O
question
R
arrows
do
emoji
2/3
eye
rocket
finger
che
1/
facebook
point
arrow down
co
down arrowhead
light
bar
gift
st
web
red
bu
Up arrow
3
cat
in
sq
thumb
video
ball
calendar
I
work
y
pen
2
blank
tr
<
gear
re
basketball
man
people
#ERROR!
html entities
location
new
block
he
party
drop
fruit
thumbs
times
how
mo
ok
delta
ex
searc
superscript
therefore
?
close
1/8
caret
cir
de
shop
ti
tri
user
"
Heart
minus
plant
sign
M
time
twitter
.
arrow right
happy
loop
modifier letter down arrowhead
N
newline
stop
!
ar
bo
euro
F
file
L
li
lo
reg
world
blue
no
smiley
Tick
U
wave
Star
moon
pencil
theta
back
chevron
delete
help
instagram
spa
top
apple
building
double
lock
Arrow
Check
death
list
plane
scissors
subscript
think
beta
card
dow
download
squ
tool
baby
ballot box
checkmark
dollar
magni
super
/note|music/
cart
di
doctor
mobile
ba
coin
gold
run
sp
black medium down-pointing triangle centred
circ
ma
per
pi
pl
school
tm
truck
&#
animal
arrowhead
angle
cr
mag
z
alpha
chat
equal
P
thumbs up
fish
number
social
chart
*
cloud
D
error
ho
key
one sixteenth
robot
wa
|
cro
globe
hot
multi
br
document
dog
pro
q
travel
black
coffee
football
game
H
hea
letter
tele
beach
chec
contact
note
button
edit
fast
go
hear
linkedin
po
slot
call
ci
danger
half
hands
picture
sta
su
website
#
business
code
dia
em
empty
miscellaneous symbols and pictographs
mouse
add
auto
briefcase
down ar
free
gun
load
menu
nature
pa
page
symbol
trash
yes
bomb
excla
flo
graph
king
lines
pe
snow
text
4
alert
cl
copyright
good
math
photo
tag
tic
zero
brief
colon
fa
folder
mic
office
sh
stone
trian
W
watch
J
mountain
period
pizza
wrong
Z
$
data
gr
ha
idea
lightning
next
one
orange
pr
Right arrow
te
crown
Down arrow
envelope
exclamation
mark
pause
supplemental symbols and pictographs
vertical
ARROW
arrow up
bulb
city
dragon
fr
le
less than
me
mon
start
sw
target
tools
uparrow
bi
bug
combining
ro
smil
table
we
win
zero width
á
ballot
Ca
disc
em dash
ghost
job
laptop
Moon
profile
qu
rectangle
Search
small
sword
test
trophy
V
’
<<
color
comp
cop
dragon-face
drink
filter
head
health
message
mu
new button
road
sort
sport
Sun
worker
,
%
3/8
basket
break
click
en
git
internet
mathematical sans-serif
movie
oe
power
quot
rup
sigma
tab
tv
#ERROR!
be
boat
bul
cal
cam
com
dingbats
family
find
gi
information
picto
present
radio
ship
skull
speech
taco
talk
Tr
tria
up arr
war
write
youtube
brain
doll
down a
glass
hat
not equal
sparkle
three
zero width space
address
cherry
clo
dots
é
elec
gre
hi
insta
j
print
rain
read
recycle
show
thu
TICK
tilde
train
two
yellow
κ
–
:
arrow left
bear
circl
cross mark
down arr
fi
flame
laugh
linked
magnifying
medicine
or
que
ri
righ
round
so
suit
to
woman
...
0
3/
boom
compu
double arrow
downwards arrow
earth
electric
emo
enter
first
flow
fun
G
garden
hammer
ice
magn
magnify
not
remove
scissor
soccer
swords
tra
@
bank
books
bra
da
del
doc
gamma
hyphen
less
log
medical
pla
rec
ru
sm
squa
th
tie
translator
white
white heavy check mark
“
airplane
an
art
best
bin
child
con
date
down arro
ear
fla
greater
K
like
micro
open
post
return
ring
Rock
sad
screen
Triangle
view
weight
what
�
/4
3/5
à
bag
beer
check box
explosion
fist
fl
forward
greek
Hea
look
med
Mo
monkey
omega
paint
ph
prime
right-pointing double angle quotation mark
shape
silver
site
sub
trade
trans
warn
^
5
BALL
bell
black square
bold
boy
cake
clover
comma
cu
exit
horizontal
human
kangxi radical double x
mask
more
numbers
purple
quotation
select
shield
speed
sweat
tw
uni
vehicle
zzz
~
al
all
bal
black medium up-pointing triangle centred
check box check
digit
fin
hockey
light skin tone
ne
price
ques
question mark
save
sex
speak
tech
thin
tran
vi
(
®
Arro
as
bl
build
chi
credit
cros
diam
done
door
external
girl
keyboard
latin ligature
learn
medi
palm
rig
rose
sa
shrug
sil
STAR
Up
ver
zerowidth
/5
✨
🎰
100
and
app
bitcoin
box drawing
canada
cash
chair
cloth
copyr
corner
correct
d arrow
downarrow
envelo
excl
group
inter
latin
loca
mdash
miscellaneous mathematical symbols-b
mone
move
nbsp
place
pound
quo
sc
sound
sum
sup
sushi
thum
triang
twi
up ar
upwards black arrow
wedding
wind
24
7
arm
bed
black downwards equilateral arrowhead
box draw
cars
checked
cookie
cup
discount
exc
ge
google
grow
guitar
hello
image
inf
la
lambda
land
Love
mul
plan
poin
reload
setting
speaker
squareroot
St
stars
wheel
✓
asterisk
cycle
darrow
divide
emoticons
eu
fail
flowe
Flower
fo
fruits
ga
geo
hearts
horse
hotel
infinity
large
miscellaneous symbols
miscellaneous symbols and arrows
net
network
queen
raqu
refresh
rightwards arrow
safe
sale
send
share
social media
task
tube
up a
up arrowhead
wr
writing
9632
anchor
aster
automobile
bang
baseball
basic latin
black right-pointing triangle
bonus
Bu
Camera
care
cell
chef
chick
Cross
dagger
dec
design
div
doarrow
down chevron
downwards white arrow
eyes
fac
fir
flash
horn
lamb
loading
magic
middot
miscellaneous technical
negative squared latin capital letter
new line
pho
police
pu
red heart
Right
right-pointing double
sch
sdot
service
sparkles
splash
surf
tre
unicorn
up down
wait
wink
wizard
->
;
&#8220;
ae
air
at
bio
black down-pointing triangle
boulder
camer
caution
chain
clip
Cr
dr
ellipsis
Fa
green tick
hamburger
helmet
kid
lion
Lo
lu
macro
macron
